56751   25.70  100.18   大理市                                  大理白族自治州         云南省      云南省       
56838   24.02   97.85   瑞丽市                                  德宏傣族景颇族自治州   云南省      云南省       
55591   29.67   91.13   拉萨市                                  拉萨市                 西藏        西藏         
55578   29.25   88.88   日喀则市                                日喀则地区             西藏        西藏         
57036   34.30  108.93   西安市                                  西安市                 陕西省      陕西省       
53947   35.08  109.07   铜川市                                  铜川市                 陕西省      陕西省       
57016   34.35  107.13   宝鸡市                                  宝鸡市                 陕西省      陕西省       
57045   34.52  109.48   渭南市                                  渭南市                 陕西省      陕西省       
53845   36.60  109.50   延安市                                  延安市                 陕西省      陕西省       
57127   33.07  107.03   汉中市                                  汉中市                 陕西省      陕西省       
57245   32.72  109.03   安康市                                  安康市                 陕西省      陕西省       
52889   36.05  103.88   兰州市                                  兰州市                 甘肃省      甘肃省       
52896   36.55  104.18   白银市                                  白银市                 甘肃省      甘肃省       
57006   34.58  105.75   天水市                                  天水市                 甘肃省      甘肃省       
52679   37.92  102.67   武威市                                  武威市                 甘肃省      甘肃省       
52652   38.93  100.43   张掖市                                  张掖市                 甘肃省      甘肃省       
52533   39.77   98.48   酒泉市                                  酒泉市                 甘肃省      甘肃省       
52984   35.58  103.18   临夏市                                  临夏回族自治州         甘肃省      甘肃省       
56080   35.00  102.90   合作市                                  甘南藏族自治州         甘肃省      甘肃省       
52866   36.72  101.75   西宁市                                  西宁市                 青海省      青海省       
53614   38.47  106.20   银川市                                  银川市                 宁夏        宁夏         
53518   39.03  106.35   石嘴山市                                石嘴山市               宁夏        宁夏         
53612   37.98  106.18   吴忠市                                  吴忠市                 宁夏        宁夏         
53817   36.00  106.27   固原市                                  固原市                 宁夏        宁夏         
53704   37.53  105.18   中卫市                                  中卫市                 宁夏        宁夏         
51463   43.78   87.65   乌鲁木齐市                              乌鲁木齐市             新疆        新疆         
52203   42.82   93.52   哈密市                                  哈密地区               新疆        新疆         
51368   44.01   87.26   昌吉市                                  昌吉回族自治州         新疆        新疆         
51238   44.90   82.07   博乐市                                  博尔塔拉蒙古自治州     新疆        新疆         
51628   41.17   80.23   阿克苏市                                阿克苏地区             新疆        新疆         
51704   39.72   76.17   阿图什市                                克孜勒苏柯尔克孜自治州 新疆        新疆         
51709   39.47   75.98   喀什市                                  喀什地区               新疆        新疆         
51828   37.13   79.93   和田市                                  和田地区               新疆        新疆         
51431   43.95   81.33   伊宁市                                  伊犁哈萨克自治州       新疆        新疆         
51133   46.73   83.00   塔城市                                  塔城地区               新疆        新疆         
51076   47.73   88.08   阿勒泰市                                阿勒泰地区             新疆        新疆         
